id,uri,siglaTipo,codTipo,numero,ano,ementa
2482279,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482279,PL,139,72,2025,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) e a Lei nº 8.069, de 13 de julho de 1990  (Estatuto da Criança e do Adolescente) para tipificar o abandono afetivo como crime, aumentando a pena e destacando sua gravidade."
2482280,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482280,PL,139,73,2025,"Altera o Decreto-lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para proibir a posse e o exercício em cargos, funções ou empregos públicos por condenados antes do decurso integral da pena aplicada e, conforme o caso, da reabilitação e dá outras providências."
2482281,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482281,PL,139,74,2025,"Institui o ""Dia Nacional do Livro de Futebol"" e a ""Semana Nacional do Livro de Futebol"" no âmbito do território nacional e dá outras providências."
2482290,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482290,PL,139,75,2025,"Altera as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), e 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para tornar hediondo e aumentar a pena do crime de subtração de criança ou adolescente de sua guarda legal com o objetivo de colocá-lo em lar substituto."
2482292,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482292,PL,139,76,2025,"Altera o § 2º do art. 39 e o § 1º do art. 41 da Lei nº 10.741, de 1º de outubro de 2003- Estatuto do Idoso-, para aumentar o percentual mínimo de assentos nos veículos de transportes coletivos públicos urbanos e semi-urbano e de  vagas de estacionamento destinadas a idosos para 15% do total disponível."
2482294,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482294,PL,139,77,2025,"Estabelece, como diretriz geral, que deve ser obedecida pelos regulamentos dos concursos de beleza, a aceitação obrigatória da participação de mulheres que forem mães, gestantes ou casadas em todos os concursos realizados no território nacional."
2482296,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482296,PL,139,78,2025,"Altera a Lei nº 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro, para a possibilidade de aplicação de fatores de multiplicação em razão do valor do veículo autuado."
2482298,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482298,PL,139,79,2025,Reconhece o Paleta Atlântida como o “Maior Churrasco de Praia do Mundo”.
2482300,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482300,PL,139,80,2025,"Altera a Lei nº 12.871, de 22 de outubro de 2013, para dispor sobre a avaliação contínua dos médicos intercambistas no âmbito do Projeto Mais Médicos para o Brasil, a certificação de conclusão de contrato, e a habilitação para o exercício da medicina no âmbito do Sistema Único de Saúde (SUS), bem como estabelece critérios e condições para o exercício legal da medicina pelos intercambistas habilitados."
2482301,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482301,PL,139,81,2025,"Institui o Programa Reconstruindo um Lar, com o objetivo de auxiliar famílias de baixa renda na recuperação ou substituição de eletrônicos, móveis e eletrodomésticos danificados ou perdidos em decorrência de desastres ou catástrofes naturais, e concede benefício fiscal do Imposto sobre Produtos Industrializados (IPI)."
2482306,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482306,PL,139,82,2025,Dispõe sobre a possibilidade de pessoas com condições neurodivergentes que envolvam altas habilidades e superdotação serem consideradas pessoas com deficiência e dá outras providências.
