idProposicao,idAutor
2482687,178963
2482687,220663
2482687,72442
2482687,204394
2482687,178964
2482687,220563
2482687,178931
2482687,204406
2482687,73486
2482687,163321
2482687,220560
2482690,220620
2482691,220620
2482692,220656
2482693,141411
2482694,220628
2482695,220602
2482696,220602
2482699,220600
2482700,204572
2482702,204572
2482703,204572
2482704,220607
2482705,204572
2482711,220654
2482711,204416
2482711,220552
2482712,220584
2482717,74160
2482718,74160
2482752,160673
2482829,220611
2482831,220618
2482836,220611
2482838,220611
2482843,204528
2482843,73579
2482843,160545
2482843,204388
2482843,220574
2482843,204572
2482843,220690
2482843,204460
2482843,204378
2482843,220666
2482843,220590
2482843,204511
2482843,220659
2482843,220625
2482843,178908
2482843,220583
2482843,220652
2482843,220654
2482843,220619
2482843,178929
2482843,220570
2482843,178871
2482843,204368
2482843,220545
2482843,220568
2482843,74273
2482843,204472
2482843,204520
2482843,204536
2482843,204526
2482843,156190
2482843,220547
2482843,220550
2482843,220530
2482843,204479
2482843,204570
2482843,161440
2482843,220626
2482843,74084
2482843,220633
2482843,220546
2482843,230767
2482843,204387
2482843,220621
2482843,220579
2482843,220560
2482843,137070
2482850,220618
2482857,141411
2482862,98057
2482866,178835
2482869,214694
2482870,226708
2482871,74084
2482874,220642
2482875,220642
2482876,220642
2482877,220642
2482878,220642
2482879,226708
2482880,74856
2482883,220540
2482884,220609
2482886,143632
2482887,220646
2482887,220609
2482888,220540
2482893,220607
2482902,178829
2482904,220609
2482912,220564
2482914,204511
2482930,220588
2482944,220628
2482950,220607
2482955,220574
2482959,88256
2482960,88256
2482961,88256
2482962,88256
2482963,220569
2482966,88256
2482967,204524
2482969,220607
2482983,204536
2482983,205865
2482987,226708
2482988,226708
2482998,204441
2483018,178871
2483026,220540
2483038,160635
2483041,161440
2483052,161440
2483053,161440
2483068,220556
2483074,204444
2483084,178871
2483085,220568
2483087,218086
2483091,220644
2483107,74858
2483120,220630
2483121,74856
2483122,220585
2483128,160512
2483130,160512
2483132,220584
2483136,220559
2483137,204462
2483140,160512
2483141,160512
2483142,160512
2483143,204528
2483157,221328
2483157,204528
2483157,73579
2483157,220557
2483157,220654
2483157,178871
2483157,204472
2483157,204520
2483157,204526
2483157,220530
2483157,161440
2483157,220644
2483157,204416
2483157,220579
2483160,139285
2483161,139285
2483162,122974
2483172,153423
2483173,153423
2483174,153423
2483175,204536
2483178,133439
2483180,204536
2483182,204536
2483184,220644
2483186,204365
2483252,204372
2483255,66828
2483258,74356
2483273,160642
2483289,220697
2483297,220565
2483298,178989
2483299,178989
2483301,178835
2483301,160673
2483301,178964
2483301,204404
2483301,179001
2483301,160535
2483301,204406
2483301,73486
2483302,220586
2483358,220565
2483359,220566
2483360,220566
2483361,178829
2483363,160629
2483364,160629
2483365,160629
2483412,220543
2483420,204460
2483431,220706
2483435,220585
2483441,220609
2483442,220706
2483443,141391
2483447,220623
2483457,220687
