idDeputado,idPartido
188097,36844
220585,37903
220530,37908
171786,36844
178985,37906
154178,37908
178895,36834
229225,37903
160561,37906
178997,38009
220617,38009
220584,37908
204453,36844
228042,36834
233218,36899
204449,37906
220622,36896
220703,37903
220703,36898
229939,38009
178896,36899
204479,38009
209787,37906
178986,36844
227660,36834
74159,36844
204498,36899
178987,36779
73692,36899
73692,37906
204422,37908
204441,36899
204573,36834
220706,38009
160556,36844
230762,38009
180214,38009
160642,37906
204570,37906
220615,36839
204553,36898
74160,36844
74095,38009
171617,36844
141518,37904
220627,38009
141516,36835
220650,36835
178860,38009
160517,36832
160517,36832
160558,37906
204492,36844
233592,36839
220685,36834
74574,36834
128760,37906
74400,36844
141488,36844
220630,37907
220630,38010
220667,36832
229112,37906
122974,38009
204395,37903
204395,37908
122158,36834
229259,36844
160604,36844
204406,37903
161440,36899
204524,37903
73486,36786
160601,37906
226075,37906
89536,37908
220533,36851
204390,37906
220580,36786
221338,36839
160641,36779
220586,36899
233594,36896
233594,36896
220532,36899
220626,38009
204567,36896
74084,36834
115200,37908
74161,36844
221378,36844
220606,36844
205865,36834
225386,36834
178989,36896
153423,36899
73801,36779
175765,36834
221329,38009
220543,37908
73788,37903
234310,36886
204362,36834
204362,37906
220694,36899
220633,37906
220633,37901
213274,36834
204489,36786
220693,37906
220588,37908
220613,37906
220613,37906
220624,37906
220624,37903
220546,37906
230767,37906
141531,38009
223128,36834
220641,36896
141533,36832
165470,38009
220695,37908
204480,36844
160629,36833
160629,36896
163321,37908
204525,37906
178945,37908
220644,38009
220620,37906
73806,36899
74371,36844
178887,36844
73604,36844
160635,36833
160635,36896
204535,36839
233598,36833
233598,36896
233598,36833
233598,36896
220631,37906
220631,37908
204416,37906
160621,36834
204387,36834
220621,37906
220618,36896
220713,38009
226837,36834
73808,36834
178933,36899
204557,36834
74356,37908
204360,37906
204360,37903
220579,37906
227310,37906
204425,37908
220569,38009
220651,36899
104552,37903
220643,36839
220575,37906
178946,37906
178947,37906
92776,36834
204534,36832
230177,37906
220682,36844
204464,36839
220598,36839
220552,37908
220552,37906
220560,37903
220597,36899
220597,37908
143084,36896
220684,37903
160976,37906
178934,36763
178934,37903
157130,36886
223398,36899
160610,36844
74376,36844
204396,37906
204396,37903
74283,36844
137070,37903
141555,37908
160591,37906
178992,36835
91228,36898
160569,36844
220601,36844
160518,36763
160518,37904
74043,37906
224333,36844
74044,37908
182146,37907
182146,37904
220564,38009
220660,37906
220660,36852
220660,36899
230768,37903
220536,36834
204559,36844
160632,37904
220558,37906
204517,37906
160592,36844
220592,37903
220552,37908
220552,37906
